step,block,head,query_position,max_attention_position,max_attention_weight,attention_entropy
1,0,0,4,2,0.2547388375,1.5944563150
1,0,1,4,0,0.2517023683,1.5846492052
1,1,0,4,1,0.2389623225,1.5971152782
1,1,1,4,0,0.2912386656,1.5651808977
10,0,0,4,2,0.2183758169,1.6050153971
10,0,1,4,0,0.2564832568,1.5767068863
10,1,0,4,1,0.2590226531,1.5756781101
10,1,1,4,0,0.3016196489,1.5623070002
100,0,0,4,4,0.2864696383,1.5605231524
100,0,1,4,0,0.6251398325,1.0940936804
100,1,0,4,4,0.7010926604,1.0040055513
100,1,1,4,1,0.6100394726,1.1827831268
200,0,0,4,4,0.6011743546,1.1637538671
200,0,1,4,0,0.8390191197,0.6527169943
200,1,0,4,4,0.3727764487,1.3920292854
200,1,1,4,3,0.5193401575,1.2747226954
300,0,0,4,4,0.6991003752,0.9889113903
300,0,1,4,0,0.6156328917,1.1526747942
300,1,0,4,4,0.3942610621,1.3919229507
300,1,1,4,3,0.2740834653,1.5720654726
400,0,0,4,4,0.6125994325,1.1445153952
400,0,1,4,0,0.5334541202,1.2980816364
400,1,0,4,0,0.2822077274,1.5753431320
400,1,1,4,1,0.2696767747,1.5893032551
500,0,0,4,4,0.6009693742,1.1621274948
500,0,1,4,0,0.5094959140,1.3248825073
500,1,0,4,3,0.2393612415,1.5844476223
500,1,1,4,1,0.3039586246,1.5679380894
600,0,0,4,4,0.5520929694,1.2248222828
600,0,1,4,0,0.5165179968,1.3114757538
600,1,0,4,3,0.2660464048,1.5761799812
600,1,1,4,1,0.3016607761,1.5649735928
700,0,0,4,4,0.5589225888,1.2252562046
700,0,1,4,0,0.4952997863,1.3184628487
700,1,0,4,3,0.3138712943,1.5557942390
700,1,1,4,1,0.3500345051,1.5280622244
800,0,0,4,4,0.5344312191,1.2554885149
800,0,1,4,0,0.5196099281,1.2823826075
800,1,0,4,3,0.3357229233,1.5414457321
800,1,1,4,1,0.3246647716,1.5425632000
900,0,0,4,4,0.5261543393,1.2575907707
900,0,1,4,0,0.4817612469,1.3390930891
900,1,0,4,3,0.3101386130,1.5459439754
900,1,1,4,1,0.2756260037,1.5490176678
1000,0,0,4,4,0.4861426950,1.3131355047
1000,0,1,4,0,0.4936321378,1.3291282654
1000,1,0,4,3,0.3394888639,1.5290224552
1000,1,1,4,0,0.2977651060,1.5103230476
